name,image_url,page_url,rarity,sell_price,slot,required_station,crafting_materials,craft_value,effects,description
Shotgun Choke II,https://arcraiders.wiki/w/images/6/63/Shotgun_Choke_II.png,https://arcraiders.wiki/wiki/Shotgun_Choke_II,Uncommon,2000,Shotgun Muzzle,Gunsmith 2,Mechanical Components x2 | Wires x4,2080,20% Reduced Base Dispersion,Moderately reduces base dispersion.
Shotgun Choke III,https://arcraiders.wiki/w/images/3/36/Shotgun_Choke_III.png,https://arcraiders.wiki/wiki/Shotgun_Choke_III,Rare,5000,Shotgun Muzzle,Gunsmith 3,Mod Components x2 | Wires x8,5100,30% Reduced Base Dispersion | 20% Increased Durability Burn Rate,Significantly reduces base dispersion.
Shotgun Silencer,https://arcraiders.wiki/w/images/4/4d/Shotgun_Silencer.png,https://arcraiders.wiki/wiki/Shotgun_Silencer,Epic,5000,Shotgun Muzzle,Gunsmith 3,Mod Components x2 | Wires x8,5100,50% Reduced Noise,Moderately reduces the amount of noise produced when firing.
Silencer I,https://arcraiders.wiki/w/images/f/f7/Silencer_I.png,https://arcraiders.wiki/wiki/Silencer_I,Uncommon,2000,Muzzle,Gunsmith 2,Mechanical Components x2 | Wires x4,2080,20% Reduced Noise,Slightly reduces the amount of noise produced when firing.
Silencer II,https://arcraiders.wiki/w/images/c/c0/Silencer_II.png,https://arcraiders.wiki/wiki/Silencer_II,Rare,5000,Muzzle,Gunsmith 3,Mod Components x2 | Wires x8,5100,40% Reduced Noise,Moderately reduces the amount of noise produced when firing.
Silencer III,https://arcraiders.wiki/w/images/3/3e/Silencer_III.png,https://arcraiders.wiki/wiki/Silencer_III,Epic,7000,Muzzle,,,0,60% Reduced Noise | 20% Increased Durability Burn Rate,Significantly reduces the amount of noise produced when firing.
Stable Stock I,https://arcraiders.wiki/w/images/8/8d/Stable_Stock_I.png,https://arcraiders.wiki/wiki/Stable_Stock_I,Common,640,Stock,Gunsmith 1,Rubber Parts x6 | Duct Tape x1,600,20% Reduced Recoil Recovery Duration | 20% Reduced Dispersion Recovery Time,Slightly improves dispersion & recoil recovery time.
Stable Stock II,https://arcraiders.wiki/w/images/b/b4/Stable_Stock_II.png,https://arcraiders.wiki/wiki/Stable_Stock_II,Uncommon,2000,Stock,Gunsmith 2,Mechanical Components x2 | Duct Tape x3,2180,35% Reduced Recoil Recovery Duration | 35% Reduced Dispersion Recovery Time,Slightly improves dispersion & recoil recovery time.
Stable Stock III,https://arcraiders.wiki/w/images/e/eb/Stable_Stock_III.png,https://arcraiders.wiki/wiki/Stable_Stock_III,Rare,5000,Stock,Gunsmith 3,Mod Components x2 | Duct Tape x5,5000,50% Reduced Recoil Recovery Duration | 50% Reduced Dispersion Recovery Time | 20% Increased Equip Time | 20% Increased Unequip Time,Significantly improves dispersion & recoil recovery time
Vertical Grip I,https://arcraiders.wiki/w/images/4/4d/Vertical_Grip_I.png,https://arcraiders.wiki/wiki/Vertical_Grip_I,Common,640,Underbarrel,Gunsmith 1,Plastic Parts x6 | Duct Tape x1,660,20% Reduced Vertical Recoil,Slightly reduces vertical recoil.
Vertical Grip II,https://arcraiders.wiki/w/images/3/3c/Vertical_Grip_II.png,https://arcraiders.wiki/wiki/Vertical_Grip_II,Uncommon,2000,Underbarrel,Gunsmith 2,Mechanical Components x2 | Duct Tape x3,2180,30% Reduced Vertical Recoil,Moderately reduces vertical recoil.
Vertical Grip III,https://arcraiders.wiki/w/images/2/20/Vertical_Grip_III.png,https://arcraiders.wiki/wiki/Vertical_Grip_III,Rare,5000,Underbarrel,Gunsmith 3,Mod Components x2 | Duct Tape x5,5000,40% Reduced Vertical Recoil | 30% Reduced ADS Speed,Significantly reduces vertical recoil.
